Insurance_ID,Route_ID,Insurance_Provider,Risk_Level,Premium_Percentage,Coverage_Type,Coverage_Limit_USD,Effective_Date,Expiry_Date,Claim_Approval_Rate
INS001,R001,Allianz Marine,Low,0.95,Marine Cargo,5108603,2025-12-04,2026-11-20,80.36
INS002,R002,Lloyd's,Low,1.02,War Risk,1533224,2024-08-14,2028-03-23,75.72
INS003,R003,Allianz Marine,Low,0.65,Comprehensive,8038374,2025-02-24,2027-03-04,80.29
INS004,R004,Allianz Marine,Low,0.91,Comprehensive,8090293,2025-01-15,2026-12-12,83.17
INS005,R005,AIG Marine,Medium,1.41,Standard,2556017,2026-02-18,2026-11-13,84.12
INS006,R006,AIG Marine,Medium,1.55,Marine Cargo,1728977,2026-01-02,2028-03-23,92.51
INS007,R007,Tokio Marine,Medium,1.68,Standard,5918715,2026-06-18,2027-10-23,94.91
INS008,R008,AIG Marine,Low,0.93,Comprehensive,2166941,2024-10-01,2027-11-27,76.1
INS009,R009,Chubb Marine,Low,0.66,Standard,4905582,2025-06-18,2026-09-19,95.8
INS010,R010,Travelers Marine,Low,0.77,Marine Cargo,3728882,2024-08-18,2026-11-06,83.88
INS011,R011,Chubb Marine,Medium,1.45,Standard,3871230,2025-01-11,2027-02-22,87.82
INS012,R012,Travelers Marine,High,2.44,War Risk,5528972,2025-08-22,2027-12-06,98.75
INS013,R013,Zurich Marine,High,3.0,Marine Cargo,1938483,2024-08-15,2027-11-04,80.5
INS014,R014,AIG Marine,High,2.14,War Risk,5491946,2024-12-27,2028-03-04,76.59
INS015,R015,AIG Marine,Low,1.14,Comprehensive,9375710,2025-12-12,2028-02-21,84.5
INS016,R016,Travelers Marine,Critical,4.88,Comprehensive,5443951,2025-09-22,2027-07-17,78.35
INS017,R017,Chubb Marine,High,3.14,War Risk,7700828,2025-01-13,2027-08-09,83.69
INS018,R018,AXA XL,Critical,5.0,War Risk,2525206,2025-10-26,2027-03-30,93.14
INS019,R019,AXA XL,Medium,1.9,Comprehensive,8082668,2026-04-15,2028-07-01,89.31
INS020,R020,Travelers Marine,Medium,1.57,Marine Cargo,1192619,2024-07-31,2028-04-06,91.33
INS021,R021,Chubb Marine,Critical,3.76,Marine Cargo,2871534,2026-04-12,2026-12-28,82.04
INS022,R022,Allianz Marine,Critical,3.82,Marine Cargo,9398441,2026-01-19,2027-07-20,93.29
INS023,R023,Lloyd's,Medium,1.66,Marine Cargo,9517169,2025-04-16,2027-03-29,89.62
INS024,R024,AXA XL,Critical,3.81,Standard,6438436,2024-11-23,2027-02-09,86.73
INS025,R025,AIG Marine,Low,0.58,Marine Cargo,5017343,2026-03-11,2027-05-14,76.39
INS026,R026,Lloyd's,High,3.33,Standard,9153566,2024-10-13,2026-11-06,94.58
INS027,R027,AXA XL,High,3.47,Comprehensive,8973915,2025-05-17,2026-11-09,97.72
INS028,R028,Tokio Marine,Medium,1.42,Comprehensive,4374754,2025-04-30,2028-06-14,92.11
INS029,R029,AIG Marine,High,2.66,War Risk,9683481,2025-04-19,2027-12-07,85.84
INS030,R030,Lloyd's,High,2.45,Marine Cargo,1352896,2025-02-16,2028-05-13,89.12
INS031,R031,Zurich Marine,Low,0.66,Standard,2191066,2024-08-28,2028-03-14,91.99
INS032,R032,Lloyd's,Medium,1.34,Standard,6543670,2025-07-17,2027-10-16,76.7
INS033,R033,Travelers Marine,Critical,3.93,Comprehensive,3219824,2024-10-30,2027-06-16,92.36
INS034,R034,Travelers Marine,High,3.34,Comprehensive,8935169,2024-09-25,2027-10-28,94.38
INS035,R035,Lloyd's,Critical,3.87,War Risk,6944126,2025-03-10,2028-05-31,85.17
INS036,R036,Allianz Marine,Low,0.83,Standard,2016911,2025-11-26,2027-12-19,84.66
INS037,R037,Lloyd's,Medium,1.54,Comprehensive,4214348,2026-06-13,2028-06-25,79.57
INS038,R038,Tokio Marine,Medium,1.61,Comprehensive,5673212,2025-05-02,2027-11-17,86.1
INS039,R039,Lloyd's,Medium,1.91,War Risk,2642635,2024-12-22,2028-02-24,76.21
INS040,R040,Allianz Marine,Medium,2.0,Standard,4965789,2024-09-18,2026-09-30,78.99
INS041,R041,Zurich Marine,Medium,1.64,War Risk,1983738,2025-12-21,2027-02-19,78.95
INS042,R042,Tokio Marine,High,2.1,Marine Cargo,8633773,2026-03-18,2027-04-07,81.85
INS043,R043,Travelers Marine,Low,0.99,Comprehensive,4185957,2024-09-25,2028-06-20,82.12
INS044,R044,Allianz Marine,Medium,1.98,Marine Cargo,1959074,2025-01-22,2028-06-29,76.2
INS045,R045,AXA XL,Medium,1.63,Standard,9519948,2024-10-12,2027-06-17,76.92
INS046,R046,Lloyd's,Medium,1.43,Comprehensive,7774229,2025-02-26,2027-08-13,77.88
INS047,R047,Zurich Marine,Low,1.12,Standard,2375453,2025-12-01,2028-06-03,85.06
INS048,R048,AIG Marine,Critical,4.42,Marine Cargo,4426900,2025-05-05,2026-12-30,91.07
INS049,R049,Chubb Marine,Low,0.72,War Risk,3195773,2025-05-09,2027-05-28,91.12
INS050,R050,AIG Marine,High,2.52,Standard,1156287,2025-01-04,2028-01-28,86.0
