Vessel_ID,Vessel_Name,IMO_Number,Vessel_Type,Capacity_Tons,Fuel_Consumption_TPD,Max_Speed_Knots,Current_Status,Home_Port_ID,Year_Built,Crew_Size
V001,MV Purpose Brother,9026225,Oil Tanker,94196,53,16,Active,PORT005,2007,31
V002,MV Ago Site,9031244,Container,87314,54,22,Active,PORT014,2011,35
V003,MT Face Election,9231148,LNG Carrier,184472,60,26,Active,PORT011,2018,28
V004,MT Dog Chair,9163032,Bulk Carrier,118236,38,15,In Transit,PORT018,2016,29
V005,MT Since Blue,9846335,Container,150435,93,15,In Transit,PORT015,2022,27
V006,MT Require Sit,9605397,Bulk Carrier,214699,33,14,Docked,PORT007,2007,25
V007,MV Wait Offer,9398591,Oil Tanker,148858,106,27,Maintenance,PORT017,2016,29
V008,MV Begin Performance,9702729,Oil Tanker,213977,112,24,Active,PORT001,2022,25
V009,MV Knowledge Almost,9484714,LNG Carrier,100765,106,25,Docked,PORT003,2006,25
V010,MV All Better,9844151,Oil Tanker,135162,59,15,Docked,PORT009,2015,24
V011,MT Discover Early,9414850,LNG Carrier,67452,58,16,Docked,PORT014,2022,26
V012,MT Mouth Play,9941435,Ro-Ro,134700,71,17,Docked,PORT020,2020,20
V013,MV Agreement Option,9902931,Container,70066,105,16,In Transit,PORT007,2017,30
V014,MT Decide Sense,9554816,Oil Tanker,175024,26,24,Active,PORT008,2013,28
V015,MV Rate Science,9307757,LNG Carrier,71460,83,14,Maintenance,PORT004,2010,34
V016,MV Offer Kind,9912804,Oil Tanker,197496,89,23,Docked,PORT001,2016,23
V017,MV Discussion List,9628038,Oil Tanker,158085,27,15,Maintenance,PORT015,2012,19
V018,MV Perform Fall,9920659,Ro-Ro,50645,35,25,In Transit,PORT014,2022,22
V019,MV Table True,9691798,LNG Carrier,174127,46,18,In Transit,PORT014,2022,24
V020,MT According Song,9418373,Oil Tanker,144845,91,21,Active,PORT013,2012,20
V021,MT Sure Collection,9022056,Ro-Ro,175207,54,23,Docked,PORT011,2007,19
V022,MV Save Knowledge,9070674,Container,116619,34,22,Docked,PORT001,2020,24
V023,MV Grow Fall,9758490,Ro-Ro,181050,85,17,In Transit,PORT007,2011,21
V024,MV Clearly Dinner,9690993,LNG Carrier,122876,79,20,In Transit,PORT003,2008,19
V025,MT Source Great,9763587,Oil Tanker,58644,56,17,Docked,PORT008,2019,22
V026,MT Blue Best,9192401,Oil Tanker,151275,56,27,Active,PORT005,2022,21
V027,MV Husband Bill,9683823,Ro-Ro,33868,36,28,Docked,PORT003,2018,33
V028,MT Her Throw,9224130,LNG Carrier,45370,46,20,Active,PORT019,2013,32
V029,MT Guy Pm,9443555,Ro-Ro,203505,116,21,Docked,PORT001,2014,24
V030,MV Everything Surface,9607314,Ro-Ro,45979,120,19,Active,PORT012,2023,33
V031,MV Animal Show,9059642,Ro-Ro,51000,48,15,Active,PORT007,2017,21
V032,MV Machine Not,9607040,Ro-Ro,40418,104,15,In Transit,PORT003,2023,34
V033,MT Capital Win,9980110,Oil Tanker,83545,110,25,Maintenance,PORT020,2013,30
V034,MV Human Bar,9704318,Oil Tanker,149858,65,28,Active,PORT008,2019,21
V035,MV Old Finally,9563750,Bulk Carrier,162614,58,16,Maintenance,PORT014,2012,29
V036,MT Themselves Production,9165409,LNG Carrier,172401,115,18,Active,PORT003,2014,21
V037,MV Present Value,9277312,Container,58058,120,22,Docked,PORT020,2014,24
V038,MT Training High,9213487,Oil Tanker,162489,87,18,Active,PORT017,2018,26
V039,MV Participant Dark,9003717,Oil Tanker,64293,106,18,Docked,PORT005,2022,31
V040,MV Sea Available,9117308,Container,211146,44,22,Active,PORT011,2023,35
V041,MV Answer Recently,9450664,Bulk Carrier,40965,64,19,Active,PORT017,2011,25
V042,MV Drive Spring,9370858,Ro-Ro,136529,104,25,Docked,PORT017,2010,23
V043,MT Figure Base,9025990,Bulk Carrier,117080,77,26,Docked,PORT006,2010,21
V044,MT Top Early,9914533,Container,153388,53,17,In Transit,PORT012,2014,25
V045,MV Trial Blood,9024813,Bulk Carrier,134455,67,18,Active,PORT001,2016,34
V046,MT Husband Fall,9712526,Ro-Ro,116808,28,15,Maintenance,PORT009,2023,26
V047,MV Long Prove,9113668,Ro-Ro,143918,69,25,Maintenance,PORT016,2024,34
V048,MV They His,9403906,Ro-Ro,79828,57,14,In Transit,PORT007,2021,35
V049,MV Commercial Hospital,9381913,LNG Carrier,48343,110,28,Maintenance,PORT017,2008,27
V050,MT Hear Determine,9699287,LNG Carrier,115506,76,25,Maintenance,PORT003,2009,24
V051,MT Religious Example,9697229,LNG Carrier,207554,120,28,Docked,PORT005,2014,30
V052,MV Science Write,9318635,Oil Tanker,85098,80,26,Maintenance,PORT017,2019,32
V053,MV Result Raise,9536004,LNG Carrier,74483,109,15,Maintenance,PORT003,2024,28
V054,MV Away Politics,9858179,Bulk Carrier,206369,64,17,Docked,PORT001,2005,19
V055,MV Prove Congress,9498216,Ro-Ro,49091,83,20,Docked,PORT003,2020,30
V056,MV None Shoulder,9154739,Container,57941,79,17,Docked,PORT001,2019,19
V057,MV Election Common,9962037,Container,149658,42,26,In Transit,PORT006,2022,28
V058,MT Maintain Hundred,9642412,Ro-Ro,141867,95,21,Docked,PORT020,2019,26
V059,MV Expect Wish,9880660,Oil Tanker,166655,87,24,Docked,PORT011,2019,20
V060,MT Push Rise,9245884,Oil Tanker,118040,65,28,Active,PORT015,2009,25
